ID,n_clicks,n_visitas,monto_compras,monto_descuentos,dias_primera_compra,info_perfil
GGNEPpxo,198.0,44.0,3393.0,67.0,241.0,235.0
tRA5byjK,303.0,74.0,3026.3,90.4,193.0,246.0
vWxSsT0V,267.0,60.0,3490.2,80.5,111.0,220.0
sxVV8jGL,177.0,85.0,3525.1,92.7,142.0,200.0
YBs4XIN5,224.0,73.0,2980.9,72.6,227.0,109.0
SMmDPDVz,336.0,42.0,2258.8,84.1,152.0,164.0
ggBVT5LE,130.0,44.0,3245.6,96.7,183.0,151.0
IoyhOeGq,231.0,63.0,3194.5,89.8,250.0,194.0
TPUKwoZS,317.0,77.0,3609.7,110.8,206.0,283.0
mCLidXlu,209.0,87.0,3205.0,65.0,299.0,211.0
K2NUUVZf,218.0,87.0,2351.9,73.4,219.0,194.0
Lbsbt5l2,248.0,98.0,3891.3,95.6,195.0,237.0
PINTrKyw,328.0,67.0,2697.4,67.6,235.0,172.0
GxuxCisv,220.0,70.0,2439.0,67.1,191.0,161.0
zK0RniER,230.0,80.0,1958.1,101.3,187.0,199.0
x5fR61q3,231.0,59.0,4196.2,67.7,180.0,181.0
ODL0YvDn,365.0,90.0,3001.2,97.6,197.0,138.0
jVTptdhM,364.0,50.0,3206.4,70.1,213.0,173.0
ji3v7ZHZ,304.0,41.0,2544.9,84.9,225.0,163.0
7ijbr6PB,272.0,51.0,3222.1,84.3,127.0,193.0
22BzeNtC,290.0,99.0,3033.8,75.7,156.0,230.0
x6a6Lwif,328.0,66.0,3077.9,106.9,197.0,151.0
YYPUxskM,205.0,101.0,3307.3,104.4,183.0,200.0
hxfx15Ox,312.0,78.0,3162.7,70.7,263.0,214.0
zJmUNPyz,189.0,77.0,3707.9,76.9,212.0,178.0
V3PnlyvT,221.0,73.0,3043.3,71.8,213.0,157.0
JexEqj09,299.0,56.0,2967.1,76.4,164.0,167.0
bmQHffv9,180.0,42.0,3011.2,81.7,306.0,189.0
EUtl3mQq,246.0,73.0,3676.9,85.8,208.0,196.0
UPPesgpp,209.0,78.0,2556.0,79.7,176.0,195.0
iqKRvDBY,240.0,90.0,3138.0,53.1,194.0,154.0
DpEat8Pw,111.0,83.0,4284.2,90.8,198.0,107.0
87p4kmJ7,163.0,71.0,4282.4,82.0,217.0,235.0
pp6xXU8Y,217.0,77.0,3256.8,95.7,248.0,192.0
RJfJJtYb,300.0,67.0,3074.8,91.9,162.0,222.0
fFGzCpaF,244.0,55.0,2724.5,47.3,221.0,277.0
JBNL5foI,253.0,77.0,3744.0,78.0,224.0,289.0
doIaxFA4,288.0,67.0,3452.2,62.8,252.0,192.0
0iIBGnos,208.0,66.0,3185.5,87.7,179.0,211.0
lV4CVXF4,267.0,61.0,3814.2,50.4,197.0,169.0
i6VrvtBn,212.0,72.0,3191.5,87.5,222.0,220.0
HxyBXiar,165.0,61.0,3206.9,94.8,205.0,197.0
yiqlVhLb,233.0,73.0,2200.3,98.9,229.0,211.0
SAV1pb58,282.0,75.0,3571.1,71.9,224.0,184.0
